# %ECSV 1.0
# ---
# datatype:
# - {name: time, unit: ns, datatype: float64}
# - {name: longitudinal, unit: V/pC, datatype: float64}
# - {name: dipole_x, unit: V/pC/m, datatype: float64}
# - {name: dipole_y, unit: V/pC/m, datatype: float64}
# meta: !!omap
# - {origin: CST and IW2D}
# - {author: Keon Hee Kim}
# - {date of production: 2026/05/15}
# - {comments: contributions from RW bellows BPMs RF cavities}
# schema: astropy-2.0
time longitudinal dipole_x dipole_y
-3.3356409519815208e-02 1.5588782652629496e-12 1.1606513978305897e-12 7.6064558389696914e-13
-3.3256340291255765e-02 1.4358059774064877e-12 1.2824643288050509e-12 6.2452306357183816e-13
-3.3156271062696314e-02 3.5741284442752076e-13 1.1664405437449365e-12 9.1434671673551023e-13
-3.3056201834136871e-02 -1.9810177724943791e-13 1.0594249867194458e-13 9.3749509107926926e-13
-3.2956132605577428e-02 3.1367713500572006e-13 -3.9858266394322996e-13 7.4489760622461955e-13
-3.2856063377017977e-02 1.1042628869532702e-12 -3.7223157110298449e-13 6.2816346022863050e-13
-3.2755994148458534e-02 8.3963228764748002e-13 -6.1032784110059417e-13 2.4944225562811940e-13
-3.2655924919899083e-02 -2.3595874503040588e-14 1.3568674457811158e-13 5.2576416112388251e-13
-3.2555855691339633e-02 -1.0006514924555238e-12 6.5722270835964181e-13 8.4448368455620734e-13
-3.2455786462780196e-02 -6.8748075024484722e-13 1.7986968132727241e-13 3.8935239927972604e-13
-3.2355717234220746e-02 2.9755548931343035e-14 6.8692773876746495e-13 8.8064234046362487e-13
-3.2255648005661303e-02 1.1423781833958376e-12 1.0876654738383920e-14 1.0228172829493151e-12
-3.2155578777101859e-02 1.4746887206064426e-12 -1.5373003823633230e-13 1.0567577879681549e-12
-3.2055509548542416e-02 7.2905242578904578e-13 8.9364859387894155e-13 1.3236625950208533e-12
-3.1955440319982965e-02 3.2223001714187924e-13 1.5198954836781932e-12 1.4908212322546759e-12
-3.1855371091423529e-02 5.7339658436161133e-13 1.2094907458483463e-12 1.1542300209680350e-12
-3.1755301862864072e-02 8.3767439179208229e-13 1.0602846818697910e-12 9.0706234656166184e-13
-3.1655232634304635e-02 1.5956505866673673e-12 5.1467545655290410e-13 8.3655714532093956e-13
-3.1555163405745185e-02 1.2569449476925380e-12 9.7162864169124176e-13 1.3391543887296913e-12
-3.1455094177185734e-02 8.0572253479311372e-13 8.6745767852824004e-13 1.0762230748457373e-12
-3.1355024948626291e-02 6.8777268157041752e-13 7.1904478287211448e-13 6.7003884877337908e-13
-3.1254955720066847e-02 4.9776777830599962e-13 2.9107169853947153e-13 2.1596369929534916e-13
-3.1154886491507397e-02 8.7353606174177959e-13 6.6309544406482378e-13 7.8659937732300714e-13
-3.1054817262947960e-02 5.0531542394596530e-13 1.3269015392190780e-12 1.0012779571295692e-12
-3.0954748034388510e-02 7.6605565424141038e-13 1.6890386237121992e-12 1.4352805120010342e-12
-3.0854678805829067e-02 7.4192097072681857e-13 1.5037886257825993e-12 1.0794576524993220e-12
-3.0754609577269623e-02 6.5994981174083109e-14 1.0667909652012458e-12 6.9895744572314395e-13
-3.0654540348710173e-02 4.7239778508957754e-13 -2.4640674166099777e-13 9.1488043994139196e-13
-3.0554471120150726e-02 5.0788608749592451e-13 2.2695750423480082e-13 1.2210467130813646e-12
-3.0454401891591282e-02 4.3890194319831187e-13 9.3943750235072154e-13 9.8372633122911247e-13
-3.0354332663031839e-02 1.2936585971355279e-13 5.5782325730684026e-13 7.9632463772795362e-13
-3.0254263434472389e-02 3.0791421539060139e-13 -6.3073487839017911e-13 5.3456295403951318e-13
-3.0154194205912945e-02 3.3911309526372106e-13 2.2265560877944609e-13 8.5815687909710490e-13
-3.0054124977353498e-02 1.3990801310952221e-12 1.8426276527350354e-13 9.9167502524841079e-14
-2.9954055748794055e-02 2.3694931644390314e-12 2.9136920807304639e-13 2.0464432372937883e-13
-2.9853986520234604e-02 2.2000752771085049e-12 -6.6979204774584457e-13 -1.2042790861562616e-13
-2.9753917291675168e-02 1.4421504553427878e-12 -7.2443946971210424e-13 -1.0947219951847881e-13
-2.9653848063115718e-02 6.2569412728408467e-13 2.6878961668837363e-13 2.3590977977476631e-14
-2.9553778834556274e-02 7.8708355507908989e-14 7.2731450709485234e-13 6.8074590177522507e-14
-2.9453709605996827e-02 -1.7116310086468417e-13 1.3875107626428799e-12 7.0648745983896088e-13
-2.9353640377437384e-02 4.7557957767768061e-13 1.0271809824788001e-12 4.1725375606392078e-13
-2.9253571148877933e-02 2.0561090028636134e-13 1.2160318180770305e-12 5.1486677596299460e-13
-2.9153501920318497e-02 -5.6919447156464640e-13 1.6407198292609029e-12 6.7429421977222102e-13
-2.9053432691759046e-02 -2.8581077656271252e-13 1.2597202760452873e-12 6.4702442783582498e-13
-2.8953363463199600e-02 -1.0490107444408359e-13 -3.0559091945878523e-13 4.5063706157886750e-13
-2.8853294234640149e-02 4.7777198177324568e-13 -1.5570661576409659e-13 5.7431179614615677e-13
-2.8753225006080709e-02 8.9664329075234995e-13 7.3950610472812954e-14 5.0361902410618366e-13
-2.8653155777521262e-02 9.1702973057718291e-13 4.7018868182642865e-13 5.9384486701306531e-13
-2.8553086548961815e-02 7.7792124364740415e-13 8.0737867986008069e-13 2.1080166434010527e-13
-2.8453017320402368e-02 6.5767213729575564e-13 3.1687152278493765e-14 -7.3441983478034649e-13
-2.8352948091842925e-02 6.4138019831690591e-13 -3.8652759013810777e-13 -3.4959202538451260e-13
-2.8252878863283478e-02 6.4607675389696323e-13 -1.1595423825452385e-12 -2.0928329683572238e-13
-2.8152809634724031e-02 -6.7300583210416142e-14 -4.4411388981980903e-13 7.5005448602159989e-15
-2.8052740406164591e-02 -6.3046991894337507e-13 -5.8349245099630418e-13 -4.0740821354411444e-13
-2.7952671177605144e-02 -1.0687180346074490e-12 -9.8826824283920794e-14 -4.1593210748758799e-13
-2.7852601949045697e-02 -2.0687948073404788e-12 5.7916965667387427e-13 -1.6969180781102892e-14
-2.7752532720486254e-02 -1.1864967727238635e-12 4.7001351063858517e-13 8.6997271780560587e-14
-2.7652463491926800e-02 -8.2864773275302677e-13 1.3058615245072644e-12 2.7395155443981196e-13
-2.7552394263367360e-02 -2.5819409519348341e-13 1.3688367248885192e-12 3.8114811728344934e-13
