# Freq(GHz) Re(Z) Im(Z)
1.300000e+00 5.919606e+04 -2.944082e+04
1.310000e+00 5.836019e+04 -3.005120e+04
1.320000e+00 5.751081e+04 -3.063384e+04
1.330000e+00 5.664903e+04 -3.118835e+04
1.340000e+00 5.577587e+04 -3.171444e+04
1.350000e+00 5.489234e+04 -3.221189e+04
1.360000e+00 5.399930e+04 -3.268065e+04
1.370000e+00 5.309772e+04 -3.312062e+04
1.380000e+00 5.218870e+04 -3.353157e+04
1.390000e+00 5.127324e+04 -3.391341e+04
1.400000e+00 5.035233e+04 -3.426613e+04
1.410000e+00 4.942666e+04 -3.458998e+04
1.420000e+00 4.849746e+04 -3.488476e+04
1.430000e+00 4.756572e+04 -3.515052e+04
1.440000e+00 4.663238e+04 -3.538736e+04
1.450000e+00 4.569827e+04 -3.559552e+04
1.460000e+00 4.476429e+04 -3.577522e+04
1.470000e+00 4.383151e+04 -3.592652e+04
1.480000e+00 4.290085e+04 -3.604962e+04
1.490000e+00 4.197320e+04 -3.614480e+04
1.500000e+00 4.104930e+04 -3.621250e+04
1.510000e+00 4.013006e+04 -3.625296e+04
1.520000e+00 3.921646e+04 -3.626644e+04
1.530000e+00 3.830932e+04 -3.625331e+04
1.540000e+00 3.740943e+04 -3.621378e+04
1.550000e+00 3.651738e+04 -3.614806e+04
1.560000e+00 3.563414e+04 -3.605706e+04
1.570000e+00 3.476051e+04 -3.594119e+04
1.580000e+00 3.389724e+04 -3.580097e+04
1.590000e+00 3.304504e+04 -3.563689e+04
1.600000e+00 3.220444e+04 -3.544967e+04
1.610000e+00 3.137619e+04 -3.523979e+04
1.620000e+00 3.056103e+04 -3.500773e+04
1.630000e+00 2.975957e+04 -3.475410e+04
1.640000e+00 2.897243e+04 -3.447952e+04
1.650000e+00 2.820004e+04 -3.418474e+04
1.660000e+00 2.744295e+04 -3.387041e+04
1.670000e+00 2.670180e+04 -3.353708e+04
1.680000e+00 2.597709e+04 -3.318542e+04
1.690000e+00 2.526929e+04 -3.281612e+04
1.700000e+00 2.457880e+04 -3.242991e+04
1.710000e+00 2.390584e+04 -3.202769e+04
1.720000e+00 2.325103e+04 -3.160996e+04
1.730000e+00 2.261471e+04 -3.117747e+04
1.740000e+00 2.199721e+04 -3.073093e+04
1.750000e+00 2.139883e+04 -3.027110e+04
1.760000e+00 2.081972e+04 -2.979885e+04
1.770000e+00 2.026014e+04 -2.931491e+04
1.780000e+00 1.972039e+04 -2.881995e+04
1.790000e+00 1.920070e+04 -2.831469e+04
1.800000e+00 1.870155e+04 -2.779930e+04
1.810000e+00 1.822295e+04 -2.727481e+04
1.820000e+00 1.776459e+04 -2.674248e+04
1.830000e+00 1.732669e+04 -2.620295e+04
1.840000e+00 1.690934e+04 -2.565693e+04
1.850000e+00 1.651255e+04 -2.510515e+04
1.860000e+00 1.613634e+04 -2.454837e+04
1.870000e+00 1.578065e+04 -2.398733e+04
1.880000e+00 1.544526e+04 -2.342291e+04
1.890000e+00 1.513021e+04 -2.285573e+04
1.900000e+00 1.483545e+04 -2.228644e+04
1.910000e+00 1.456084e+04 -2.171575e+04
1.920000e+00 1.430622e+04 -2.114436e+04
1.930000e+00 1.407141e+04 -2.057293e+04
1.940000e+00 1.385606e+04 -2.000232e+04
1.950000e+00 1.366002e+04 -1.943307e+04
1.960000e+00 1.348311e+04 -1.886577e+04
1.970000e+00 1.332506e+04 -1.830105e+04
1.980000e+00 1.318558e+04 -1.773951e+04
1.990000e+00 1.306437e+04 -1.718177e+04
2.000000e+00 1.296102e+04 -1.662848e+04
2.010000e+00 1.287511e+04 -1.608028e+04
2.020000e+00 1.280642e+04 -1.553757e+04
2.030000e+00 1.275458e+04 -1.500087e+04
2.040000e+00 1.271918e+04 -1.447070e+04
2.050000e+00 1.269983e+04 -1.394755e+04
2.060000e+00 1.269738e+04 -1.343133e+04
2.070000e+00 1.270993e+04 -1.292324e+04
2.080000e+00 1.273714e+04 -1.242358e+04
2.090000e+00 1.277861e+04 -1.193272e+04
